"Privileges","Permitted","Entitlement ID"
"Course/Organization Control Panel (Users and Groups) > Users > Change System DSK User's Role in Course/Organization","false","course.user-role.MODIFY"
"Course/Organization Control Panel (Tools) > Journals > Delete Journal Entry","false","course.journal.entry.DELETE"
"Make Course/Organization complete","false","course.complete-only.MODIFY"
"Course/Organization Control Panel (Users and Groups) > Groups > Edit Group","false","course.groups.MODIFY"
"Course/Organization Control Panel (Tools) > Rubrics > Edit Rubric","false","course.rubrics.MODIFY"
"Course/Organization Control Panel (Users and Groups) > Users > Edit User Properties","false","course.user.properties.MODIFY"
"Course/Organization Control Panel (Grade Center) > Configure the view other graders option for Delegated Grading/Parallel Grading","false","course.gradebook-configure-view-other-graders.EXECUTE"
"Show student/participant id even when hidden from other users","false","system.user.hidden_student_id.VIEW"
"Course/Organization Control Panel (Evaluation) > Early Warning System > Notify","false","course.ews.notify.EXECUTE"
"Course/Organization Control Panel (Evaluation) > Early Warning System","false","course.ews.VIEW"
"Course/Organization Control Panel (Users and Groups) > Users","false","course.user.VIEW"
"Course/Organization Outline > Discussions > Modify Discussion Settings (Ultra Course/Organization View)","false","course.ultra.discussion.settings.MODIFY"
"Course/Organization Control Panel (Packages and Utilities) > Archive Course/Organization, including user passwords","false","course.archive.user.password.EXECUTE"
"Course/Organization Control Panel (Tools) > Tasks","false","course.tasks.VIEW"
"Course/Organization Control Panel (Tools) > Announcements > Edit Announcement","false","course.announcements.MODIFY"
"Course/Organization Control Panel (Customization) > Tool Availability","false","course.configure-tools.EXECUTE"
"Course/Organization Control Panel (Grade Center) > Reveal Student Identity for Anonymous Assessment","false","course.gradebook-reveal-student-identity.EXECUTE"
"Course/Organization Control Panel (Tools) > Calendar > Delete Office Hours","false","course.calendar-entry.office-hours.DELETE"
"Course/Organization Control Panel (Tools) > Calendar > Create Event","false","course.calendar-entry.event.CREATE"
"Course/Organization Control Panel (Customization) > Teaching Style","false","course.design.MODIFY"
"Course/Organization Control Panel (Tools) > Wiki > Delete Wiki","false","course.wiki.DELETE"
